1076,対馬,3922
1077,神,3920
1078,水本,3917
1079,相良,3915
1080,櫻井,3913
1081,真野,3910
1082,山脇,3909
1083,保田,3905
1084,船木,3890
1085,室井,3888
1086,森島,3888
1087,金澤,3876
1088,郡司,3875
1089,矢吹,3875
1090,森崎,3874
1091,熊沢,3870
1092,粕谷,3858
1093,田沢,3856
1094,東山,3856
1095,福元,3855
1096,矢崎,3841
1097,益子,3837
1098,塚越,3837
1099,金原,3836
1100,下野,3833
1101,小暮,3823
1102,住吉,3809
1103,関本,3807
1104,鮫島,3803
1105,増山,3802
1106,棚橋,3798
1107,渥美,3791
1108,松林,3790
1109,河井,3789
1110,増子,3782
1111,赤塚,3780
1112,南雲,3764
1113,柿本,3763
1114,神保,3757
1115,鳴海,3750
1116,長山,3747
1117,稲村,3746
1118,小竹,3745
1119,井沢,3743
1120,梶山,3739
1121,久田,3738
1122,大坂,3737
1123,高津,3730
1124,片野,3724
1125,塩沢,3721
1126,吉見,3721
1127,沢村,3720
1128,梶,3708
1129,村越,3708
1130,畑山,3705
1131,高沢,3686
1132,中道,3684
1133,唐沢,3684
1134,湯本,3677
1135,桑野,3675
1136,川内,3675
1137,藤巻,3673
1138,福沢,3671
1139,小橋,3670
1140,廣瀬,3658
1141,宇田,3654
1142,大岩,3652
1143,小山内,3645
1144,榊,3640
1145,玉川,3636
1146,杉崎,3635
1147,高森,3634
1148,薄井,3626
1149,大河原,3625
1150,八幡,3625
1151,八巻,3623
1152,伊勢,3617
1153,金本,3613
1154,竹林,3604
1155,須永,3603
1156,谷田,3601
1157,堺,3600
1158,芝田,3593
1159,衛藤,3586
1160,向山,3586
1161,藤,3583
1162,丸岡,3582
1163,米谷,3578
1164,二村,3570
1165,尾関,3567
1166,島本,3559
1167,浜中,3558
1168,永瀬,3554
1169,大迫,3553
1170,小宮山,3550
1171,小田島,3545
1172,緑川,3544
1173,高須,3540
1174,西崎,3540
1175,長,3539
1176,植野,3536
1177,浦川,3535
1178,福留,3534
1179,下地,3528
1180,長屋,3528
1181,高本,3523
1182,仲,3523
1183,安岡,3518
1184,袴田,3518
1185,井戸,3511
1186,吉武,3510
1187,芝,3510
1188,人見,3499
1189,山谷,3497
1190,清原,3496
1191,木谷,3495
1192,磯貝,3492
1193,宮村,3482
1194,岡林,3473
1195,矢沢,3473
1196,駒井,3467
1197,椿,3465
1198,篠塚,3462
1199,安西,3460
1200,岩元,3454
1201,高杉,3454
1202,勝山,3449
1203,村尾,3446
1204,山浦,3437
1205,牛島,3435
1206,黒澤,3431
1207,加茂,3421
1208,平石,3414
1209,森野,3412
1210,小崎,3410
1211,知念,3410
1212,中平,3409
1213,桜庭,3408
1214,村本,3408
1215,早瀬,3406
1216,高林,3403
1217,宮澤,3402
1218,辻井,3402
1219,飯村,3401
1220,犬飼,3399
1221,小峰,3395
1222,川名,3384
1223,鶴見,3382
1224,長嶋,3378
1225,谷山,3377
1226,磯田,3376
1227,関野,3376
1228,岩橋,3373
1229,若杉,3373
1230,西垣,3371
1231,新山,3361
1232,黒瀬,3359
1233,城,3355
1234,深川,3349
1235,安斎,3344
1236,竹山,3336
1237,柳井,3334
1238,米村,3324
1239,赤堀,3323
1240,桂,3319
1241,大杉,3319
1242,兵頭,3311
1243,芹沢,3303
1244,熊野,3300
1245,志水,3300
1246,小浜,3298
1247,丸尾,3297
1248,別府,3296
1249,竹島,3293
1250,板谷,3292
1251,木島,3284
1252,橋詰,3283
1253,田嶋,3283
1254,岩沢,3282
1255,三瓶,3282
1256,奧村,3280
1257,伊沢,3274
1258,大上,3264
1259,永松,3262
1260,加賀谷,3262
1261,平間,3257
1262,岩切,3254
1263,川又,3253
1264,山路,3250
1265,小熊,3244
1266,大屋,3241
1267,疋田,3237
1268,鎌倉,3233
1269,保科,3231
1270,塩野,3230
1271,村川,3226
1272,竹之内,3216
1273,高塚,3214
1274,船橋,3206
1275,鳥越,3197
1276,佃,3197
1277,松葉,3194
1278,沢口,3191
1279,安江,3190
1280,上林,3190
1281,早田,3187
1282,国井,3185
1283,生駒,3180
1284,徳山,3175
1285,青島,3173
1286,名倉,3161
1287,岩野,3154
1288,山西,3153
1289,岩見,3151
1290,砂田,3146
1291,脇,3145
1292,羽鳥,3143
1293,奧田,3143
1294,長澤,3138
1295,上西,3135
1296,須貝,3134
1297,新,3133
1298,猪俣,3130
1299,桐山,3129
1300,日向,3124
1301,猪狩,3121
1302,笹本,3118
1303,庄子,3118
1304,大泉,3115
1305,塙,3109
1306,鷲見,3108
1307,幸田,3105
1308,柴,3103
1309,上島,3102
1310,荒谷,3098
1311,塩川,3096
1312,飯沼,3096
1313,赤沢,3093
1314,名取,3085
1315,添田,3080
1316,新美,3078
1317,清家,3078
1318,鬼塚,3068
1319,時田,3068
1320,柳沼,3061
1321,松坂,3057
1322,梶谷,3055
1323,柘植,3054
1324,熊本,3039
1325,土岐,3039
1326,五島,3037
1327,藤江,3034
1328,関川,3033
1329,谷岡,3026
1330,大賀,3015
1331,竹谷,3009
1332,安本,3002
1333,竹沢,3002
1334,山地,3000
